round,case,method,milliseconds
4,372,Indexed,0.602960586547852
4,372,Original,5.59687614440918
3,253,Original,2.29597091674805
3,253,Indexed,0.627994537353516
2,311,Indexed,0.62108039855957
2,311,Original,2.07996368408203
3,388,Indexed,0.580072402954102
3,388,Original,2.21490859985352
4,203,Original,2.19202041625977
4,203,Indexed,0.615119934082031
1,572,Indexed,0.758886337280273
1,572,Original,1.97505950927734
4,446,Indexed,0.683069229125977
4,446,Original,1.89709663391113
3,301,Indexed,0.576972961425781
3,301,Original,1.89304351806641
4,371,Original,1.92117691040039
4,371,Indexed,0.578880310058594
3,101,Indexed,0.620841979980469
3,101,Original,1.89399719238281
2,298,Indexed,0.573158264160156
2,298,Original,1.90496444702148
2,429,Original,1.91283226013184
2,429,Indexed,0.542879104614258
5,432,Original,1.89113616943359
5,432,Indexed,0.566005706787109
2,450,Original,3.54886054992676
2,450,Indexed,0.735998153686523
3,141,Original,2.08902359008789
3,141,Indexed,0.619173049926758
1,77,Original,2.11215019226074
1,77,Indexed,0.587940216064453
4,93,Indexed,0.593185424804688
4,93,Original,2.0439624786377
1,140,Indexed,0.693082809448242
1,140,Original,2.01892852783203
1,349,Original,2.12812423706055
1,349,Indexed,0.570058822631836
2,137,Indexed,0.59199333190918
2,137,Original,1.95503234863281
3,15,Original,1.90091133117676
3,15,Indexed,0.584840774536133
3,291,Original,1.96290016174316
3,291,Indexed,0.575780868530273
1,380,Indexed,0.567913055419922
1,380,Original,1.8928050994873
4,207,Indexed,0.565052032470703
4,207,Original,1.94597244262695
5,323,Indexed,0.531911849975586
5,323,Original,1.85608863830566
1,460,Original,4.40502166748047
1,460,Indexed,0.892877578735352
3,346,Original,2.92801856994629
3,346,Indexed,0.585079193115234
3,18,Original,2.08902359008789
3,18,Indexed,0.614166259765625
2,555,Original,2.02488899230957
2,555,Indexed,0.581026077270508
4,165,Original,2.01010704040527
4,165,Indexed,0.601053237915039
1,258,Original,2.01320648193359
1,258,Indexed,0.615119934082031
4,277,Original,1.94382667541504
4,277,Indexed,0.684976577758789
2,466,Indexed,0.563859939575195
2,466,Original,1.93595886230469
1,153,Indexed,0.572919845581055
1,153,Original,1.98602676391602
1,92,Original,1.91402435302734
1,92,Indexed,0.579118728637695
4,180,Indexed,0.557899475097656
4,180,Original,1.89399719238281
3,475,Original,1.90091133117676
3,475,Indexed,0.560998916625977
3,12,Indexed,0.540018081665039
3,12,Original,1.88994407653809
3,175,Original,5.22708892822266
3,175,Indexed,0.944137573242188
1,241,Indexed,0.705957412719727
1,241,Original,2.03895568847656
2,588,Original,2.0298957824707
2,588,Indexed,0.579118728637695
5,499,Original,2.04014778137207
5,499,Indexed,0.607013702392578
3,274,Original,2.05492973327637
3,274,Indexed,0.584125518798828
4,284,Indexed,0.574827194213867
4,284,Original,2.62594223022461
2,470,Indexed,0.642061233520508
2,470,Original,2.00414657592773
1,91,Indexed,0.658988952636719
1,91,Original,2.00605392456055
1,195,Indexed,0.625133514404297
1,195,Original,1.99604034423828
3,399,Original,2.04300880432129
3,399,Indexed,0.635147094726563
2,572,Original,2.24804878234863
2,572,Indexed,0.84686279296875
4,172,Original,2.11095809936523
4,172,Indexed,0.626087188720703
1,270,Original,2.08306312561035
1,270,Indexed,3.23104858398438
5,527,Original,3.2660961151123
5,527,Indexed,0.62108039855957
2,34,Original,2.14600563049316
2,34,Indexed,0.613212585449219
2,332,Indexed,0.598907470703125
2,332,Original,2.11215019226074
5,19,Indexed,0.638961791992188
5,19,Original,2.11691856384277
2,218,Original,2.10809707641602
2,218,Indexed,0.608205795288086
3,45,Indexed,0.550985336303711
3,45,Original,1.95789337158203
5,320,Indexed,0.641107559204102
5,320,Original,2.03800201416016
1,496,Indexed,0.573873519897461
1,496,Original,1.97219848632813
4,465,Indexed,0.59199333190918
4,465,Original,1.93285942077637
2,357,Original,1.92713737487793
2,357,Indexed,0.571966171264648
2,395,Indexed,0.59199333190918
2,395,Original,1.98006629943848
5,402,Original,1.90401077270508
5,402,Indexed,0.576019287109375
2,189,Original,5.11789321899414
2,189,Indexed,0.917911529541016
5,518,Original,2.48503684997559
5,518,Indexed,0.627994537353516
5,341,Original,2.14695930480957
5,341,Indexed,0.608205795288086
3,421,Indexed,0.612974166870117
3,421,Original,2.11000442504883
1,178,Indexed,0.666141510009766
1,178,Original,2.12001800537109
4,542,Indexed,0.719070434570313
4,542,Original,1.99007987976074
5,382,Original,2.01296806335449
5,382,Indexed,0.609874725341797
3,278,Indexed,0.601053237915039
3,278,Original,1.96409225463867
5,116,Original,1.95908546447754
5,116,Indexed,0.791072845458984
5,367,Original,1.93095207214355
5,367,Indexed,0.625133514404297
5,181,Original,1.99604034423828
5,181,Indexed,0.585079193115234
2,573,Original,1.95503234863281
2,573,Indexed,0.597953796386719
5,34,Original,1.97792053222656
5,34,Indexed,3.12614440917969
2,252,Original,3.28707695007324
2,252,Indexed,0.622987747192383
3,264,Original,2.16388702392578
3,264,Indexed,0.715970993041992
5,387,Original,2.12311744689941
5,387,Indexed,0.614166259765625
1,455,Indexed,0.612974166870117
1,455,Original,2.07996368408203
5,296,Indexed,0.608921051025391
5,296,Original,2.10118293762207
3,378,Indexed,0.629901885986328
3,378,Original,2.0291805267334
3,317,Indexed,0.61798095703125
3,317,Original,2.09498405456543
3,305,Original,1.95217132568359
3,305,Indexed,0.671863555908203
3,457,Original,1.94001197814941
3,457,Indexed,0.581979751586914
3,583,Indexed,0.787973403930664
3,583,Original,1.9381046295166
5,211,Original,1.96003913879395
5,211,Indexed,0.596046447753906
2,335,Original,1.93190574645996
2,335,Indexed,0.576019287109375
1,240,Indexed,0.633955001831055
1,240,Original,31.0649871826172
5,10,Original,2.03800201416016
5,10,Indexed,0.631093978881836
5,252,Original,1.9218921661377
5,252,Indexed,0.5950927734375
4,69,Indexed,0.566005706787109
4,69,Original,1.92904472351074
4,32,Indexed,0.625133514404297
4,32,Original,2.17294692993164
5,95,Original,1.93309783935547
5,95,Indexed,0.570058822631836
1,476,Original,1.91497802734375
1,476,Indexed,0.707864761352539
4,574,Original,1.93905830383301
4,574,Indexed,0.622034072875977
5,276,Original,1.90210342407227
5,276,Indexed,0.584125518798828
3,504,Original,1.90901756286621
3,504,Indexed,0.558853149414063
2,239,Indexed,0.593185424804688
2,239,Original,1.91402435302734
5,557,Original,1.94191932678223
5,557,Indexed,0.589847564697266
2,226,Original,1.92999839782715
2,226,Indexed,0.595808029174805
5,465,Indexed,0.566005706787109
5,465,Original,1.9378662109375
5,502,Indexed,2.67195701599121
5,502,Original,1.91998481750488
5,414,Indexed,0.59199333190918
5,414,Original,1.94311141967773
3,351,Original,1.92999839782715
3,351,Indexed,0.594139099121094
2,260,Original,1.97505950927734
2,260,Indexed,0.579833984375
3,513,Original,1.89495086669922
3,513,Indexed,0.709056854248047
2,286,Original,1.94692611694336
2,286,Indexed,0.580072402954102
1,324,Indexed,0.563144683837891
1,324,Original,2.1510124206543
1,332,Original,2.03418731689453
1,332,Indexed,0.570058822631836
2,138,Indexed,0.655174255371094
2,138,Original,1.86681747436523
2,215,Indexed,0.562906265258789
2,215,Original,1.88302993774414
5,560,Indexed,0.570058822631836
5,560,Original,1.94001197814941
4,406,Original,1.93500518798828
4,406,Indexed,0.697135925292969
3,189,Indexed,0.570058822631836
3,189,Original,1.98698043823242
3,560,Original,1.93881988525391
3,560,Indexed,2.65192985534668
2,202,Original,1.96504592895508
2,202,Indexed,0.575065612792969
4,249,Original,1.89900398254395
4,249,Indexed,0.579833984375
1,591,Original,1.9218921661377
1,591,Indexed,0.557899475097656
5,183,Original,1.94692611694336
5,183,Indexed,0.578880310058594
5,558,Indexed,0.557899475097656
5,558,Original,1.89900398254395
2,520,Indexed,0.602006912231445
2,520,Original,1.92499160766602
3,7,Original,1.94501876831055
3,7,Indexed,0.587940216064453
1,255,Indexed,0.558853149414063
1,255,Original,1.95097923278809
3,22,Indexed,0.541925430297852
3,22,Original,1.86514854431152
1,327,Indexed,0.581026077270508
1,327,Original,1.92594528198242
5,97,Original,2.00104713439941
5,97,Indexed,0.612020492553711
4,42,Original,1.90210342407227
