source,line_hash,rank,milliseconds
blogs,d79c04c6f0e22149c1c9006a42e3e9c7f9df76cb6e1390cfdcebabcbb51bb8a9,0,0.575065612792969
blogs,4dd737184fc361b8cf976ef430f2dd21985f4e868137c42a996e8e3e695ccd95,2,0.587940216064453
blogs,ac9a8a0d3cfe9c7bb2f3b752bf5c26ab3c69ed2f372c9839e4d8b1fbf6ed0331,1,0.640153884887695
blogs,9dbee1eacb6a2dc2637f5fc3d44059ea4bcf626edc2c4f21d738ac16c883e40a,0,0.5950927734375
blogs,62a099be03468391755a96421abbe0f9e5b0162d527f2962dcdadf8c95573dcd,0,0.578880310058594
blogs,091877a1635d9a665633883b50bd5dc36bc5ca9e5585d0983bb1a29b4a8c3d1e,1,0.565052032470703
blogs,9c8d9ad6fa9079fd13f306d57eee0dc27528927bc26c393dd88fe8a4394bd34b,0,0.588893890380859
blogs,a891f0e31026aea17b7e618ecb1770f88745de47af609e61c3c463d370c1008d,0,0.59199333190918
blogs,5d92b68393bbdb849fc1ebfad9c6b34cd6538758370ddc7ad3629fced60a5d7f,1,0.592947006225586
blogs,74dfb95052a454d55132e41c8b4dcaef8477b01e8c7ab901d723b5f0e161b6e2,0,0.578880310058594
blogs,8cd3930f92a0a8ebcb133d931ebe48117c56b2235e341a4583296c55f8c9e250,0,0.592947006225586
blogs,30490f8f285188f117b5dc1339c3693c23a69819f1a0ee69322f604d9ec499eb,1,0.581026077270508
blogs,24d039524a223ce53179db33269afa83fdae9e4d5d1e4ab8858082ff731c2a15,0,0.581979751586914
blogs,f4d9e25f742070aec6a949d7197d30714a6a67b120226b3d1eaf85136351db0c,1,0.628948211669922
blogs,6a4e3a33617c4fe6ab7ef6486f850708e32ea6014ca3d9c67dc608012463a971,0,0.751018524169922
blogs,301733dbfab361290501489be559d8c81ed730e6b752acea9cfe4fcaf92b9900,1,0.593900680541992
blogs,e9d59ebbbf86bfaf89c2a88befb5ab14401779a524e927d619a1ab87e0d8bba2,0,0.570058822631836
blogs,5dbfe67d0d54de168c6c7693cf911b389b643c7605560d75c61dcc324cb7c9f9,0,0.586032867431641
blogs,2bc6ee6e94906badea024b70b2aac8873e18f8f12396aa3e20a49321e0c12021,0,0.55694580078125
blogs,ff60fd0c2b5a8c0d0e293887350048ce6489caf891ebef6202418289bce6e77b,0,0.633955001831055
blogs,944a591a2802feee58d0ee711428ff20c4f16e702aa72d72ea4fc1c77057c67e,0,0.577926635742188
blogs,beef00b6a3aa10e4e2713d2e117c6719e5cb12f4b8b0a792a21f714430ed2461,0,0.59199333190918
blogs,19e0072349b355cd43d26b51eadf2572e236292a915cd0aa89f9925e0f5698ab,0,0.579118728637695
blogs,8ef449862b952c2f06d7826273498842fcab93118caae140feddbdbe83c8041c,0,0.990152359008789
blogs,320adf1e1f032ade513e367aced54481158d7c681490476bb74e6b441fbb3bab,0,0.829935073852539
blogs,c6d4ce500ccf0dc7143630ddf7223fb8b6b76bfa002279192c3545fdb861acb6,0,0.777959823608398
blogs,15f360109886ff0f2398f4d545d27e15c381c7503de8c07a802bdc9a087b07fc,1,0.611066818237305
blogs,e3791dab62432b0c9d68c62beb88e6e1ccd7edd5db8d9e4ac1abd8c0702be29e,2,0.620126724243164
