round,case,name,milliseconds
2,208,Strict,3.82304191589355
2,208,Strong,0.844001770019531
3,505,Strict,0.763893127441406
3,505,Strong,0.64396858215332
3,505,Current,0.663995742797852
3,505,Gentle,0.604867935180664
3,389,Strict,0.603199005126953
3,389,Gentle,0.634908676147461
3,389,Current,0.629901885986328
3,389,Strong,0.611066818237305
3,477,Strong,0.627994537353516
3,477,Strict,0.660896301269531
3,477,Current,0.640869140625
3,477,Gentle,0.581979751586914
1,467,Current,0.604867935180664
1,467,Strong,0.578880310058594
1,467,Strict,0.575065612792969
1,467,Gentle,0.586032867431641
2,2,Strict,0.601053237915039
2,2,Gentle,0.588893890380859
2,2,Current,0.601053237915039
2,2,Strong,0.573158264160156
2,257,Strict,0.658035278320313
2,257,Strong,0.571012496948242
2,257,Current,0.594139099121094
2,257,Gentle,0.654935836791992
2,523,Gentle,0.637054443359375
2,523,Strong,0.598907470703125
2,523,Strict,0.570058822631836
2,523,Current,0.578880310058594
2,496,Strict,0.524044036865234
2,496,Current,0.531911849975586
2,496,Strong,0.5340576171875
2,496,Gentle,0.567913055419922
1,365,Current,0.576019287109375
1,365,Strong,0.551939010620117
1,365,Gentle,0.554084777832031
1,365,Strict,0.565052032470703
1,30,Current,0.592947006225586
1,30,Strict,0.578880310058594
1,30,Strong,0.649929046630859
1,30,Gentle,0.60582160949707
2,254,Strong,0.571966171264648
2,254,Gentle,0.56910514831543
2,254,Current,0.690937042236328
2,254,Strict,0.537872314453125
2,204,Strong,0.576972961425781
2,204,Current,0.571966171264648
2,204,Strict,0.531911849975586
2,204,Gentle,0.536203384399414
3,253,Strong,0.568866729736328
3,253,Strict,0.550985336303711
3,253,Gentle,0.56004524230957
3,253,Current,0.568866729736328
1,357,Current,0.53095817565918
1,357,Gentle,0.624895095825195
1,357,Strong,0.524997711181641
1,357,Strict,0.535964965820313
2,121,Gentle,0.524044036865234
2,121,Current,0.522851943969727
2,121,Strict,0.549793243408203
2,121,Strong,0.520944595336914
2,521,Strong,0.53095817565918
2,521,Current,0.544071197509766
2,521,Strict,0.509023666381836
2,521,Gentle,0.511884689331055
3,513,Strong,0.655889511108398
3,513,Current,0.633001327514648
3,513,Gentle,0.622034072875977
3,513,Strict,0.670909881591797
2,209,Gentle,0.693082809448242
2,209,Current,0.681877136230469
2,209,Strong,0.562906265258789
2,209,Strict,0.533103942871094
3,502,Strong,0.537872314453125
3,502,Gentle,0.520944595336914
3,502,Strict,0.533103942871094
3,502,Current,0.524997711181641
3,210,Current,0.532865524291992
3,210,Strong,0.535964965820313
3,210,Strict,0.536918640136719
3,210,Gentle,0.531911849975586
2,280,Strict,0.545024871826172
2,280,Gentle,0.541925430297852
2,280,Current,0.54621696472168
2,280,Strong,0.610113143920898
2,307,Strong,0.560998916625977
2,307,Current,0.535964965820313
2,307,Gentle,0.53095817565918
2,307,Strict,0.504970550537109
1,487,Current,0.641107559204102
1,487,Strict,0.674009323120117
1,487,Gentle,0.643014907836914
1,487,Strong,3.6931037902832
3,228,Strong,0.885009765625
3,228,Current,0.756978988647461
3,228,Gentle,0.634908676147461
3,228,Strict,0.648975372314453
3,76,Gentle,0.632047653198242
3,76,Strict,0.611066818237305
3,76,Strong,0.601053237915039
3,76,Current,0.634908676147461
2,397,Strong,0.60582160949707
2,397,Strict,0.606060028076172
2,397,Gentle,0.577211380004883
2,397,Current,0.576972961425781
2,294,Gentle,0.580072402954102
2,294,Strong,0.572919845581055
2,294,Current,0.667095184326172
2,294,Strict,0.619888305664063
2,369,Current,0.576972961425781
2,369,Strict,0.571966171264648
2,369,Gentle,0.574111938476563
2,369,Strong,0.56910514831543
3,213,Gentle,0.635862350463867
3,213,Strict,0.651836395263672
3,213,Current,0.592947006225586
3,213,Strong,0.578165054321289
